,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation
0,0,550287,0,512397,8408133,1.0,
1,1,550287,0,512397,8684963,1.0,
2,2,550287,0,512397,8890301,1.0,
3,3,550287,1,570672,262462,1.0,0.0
4,4,550287,1,557816,26442751,1.0,0.0
5,5,550287,0,647251,22912321,1.0,
6,6,550287,1,534042,10813441,1.0,0.0
7,7,512397,0,550287,8811852,1.0,
8,8,512397,0,550287,10409865,1.0,
9,9,512397,0,550287,12670289,1.0,
10,10,512397,0,550287,14384733,1.0,
11,11,512397,0,550287,15835592,1.0,
12,12,512397,0,550287,18060533,1.0,
13,13,512397,0,550287,20234879,1.0,
14,14,512397,1,570672,2358736,1.0,2.0
15,15,512397,0,557816,4523274,1.0,
16,16,512397,1,637482,30414630,1.0,2.0
17,17,512397,0,635665,5717144,1.0,
18,18,512397,0,635665,6064497,1.0,
19,19,512397,0,635665,7168878,1.0,
20,20,512397,0,635665,8272124,1.0,
21,21,570672,0,512397,10693231,1.0,
22,22,570672,0,512514,26409242,1.0,
23,23,570672,0,546613,18084152,1.0,
24,24,570672,1,510299,9948738,1.0,3.0
25,25,557816,0,550287,4895553,1.0,
26,26,557816,0,495748,4780896,1.0,
27,27,557816,0,558892,30862857,1.0,
28,28,637482,1,550287,23571408,1.0,0.0
29,29,637482,0,512397,15661834,1.0,
30,30,637482,1,543244,31288698,1.0,0.0
31,31,637482,1,543244,31285902,1.0,0.0
32,32,637482,1,601986,396708,1.0,0.0
33,33,637482,0,466421,17809226,1.0,
34,34,635665,0,550287,5626655,1.0,
35,35,635665,0,550287,6147265,1.0,
36,36,635665,0,512397,5288962,1.0,
37,37,635665,0,512397,6186726,1.0,
38,38,635665,0,512397,6571211,1.0,
39,39,635665,0,512397,7575721,1.0,
40,40,635665,0,512397,8102731,1.0,
41,41,480308,1,619831,17667432,1.0,4.0
42,42,547675,0,487178,5119470,1.0,
43,43,512514,0,575348,10904802,1.0,
44,44,517986,0,531614,15910563,1.0,
45,45,601986,0,548351,28176489,1.0,
46,46,466421,0,580710,16645962,1.0,
47,47,508149,1,534042,22952618,1.0,4.0
48,48,531614,0,497906,8580042,1.0,
49,49,531614,0,539902,18837729,1.0,
50,50,498877,1,518941,9766144,1.0,4.0
51,51,501007,0,513819,21083307,1.0,
52,52,535616,0,458436,6414719,1.0,
53,53,537927,1,480763,31196206,1.0,4.0
54,54,467492,1,635665,8040804,1.0,4.0
55,55,467492,1,498877,4237978,1.0,4.0
56,56,495748,1,466421,24803105,1.0,4.0
57,57,624650,1,637482,21608672,1.0,4.0
